Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
433002,NO,CANARIAS,PRESIDENCIA DEL GOBIERNO,,31/12/2018,CAPITULO IV,
433000,NO,COMUNIDAD FORAL DE NAVARRA,DEPARTAMENTO DE INDUSTRIA Y DE TRANSICION ECOLOGICA Y DIGITAL EMPRESARIAL,,31/12/2018,Subvención a FUNDACIÓN I+D AUTOMOCIÓN Y MECATRÓNICA para actividades de investigación del Centro de Excelencia en Automoción y Mecatrónica,
432955,NO,CANARIAS,CONSEJERÍA DE ECONOMÍA, INDUSTRIA, COMERCIO Y CONOCIMIENTO,,30/12/2018,RECURSO REPOSICIÓN CODEXCA-JUSTIFICACIÓN PARCIAL EXP. CANARIAS APORTA 2016,
432954,NO,CANARIAS,CONSEJERÍA DE EMPLEO, POLÍTICAS SOCIALES Y VIVIENDA,,30/12/2018,DISPOSITIVO EMERGENCIA MENAS IASS,
432953,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432952,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432951,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432950,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432949,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432948,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432947,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432946,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,Subvenciones directas a centros privados con unidades de Educación Especial concertadas, para sufragar gastos derivados del transporte escolar,
432945,NO,CANARIAS,CONSEJERÍA DE TURISMO, CULTURA Y DEPORTES,,30/12/2018,Apoyo a instituciones culturales,
432944,NO,CANARIAS,CONSEJERÍA DE OBRAS PÚBLICAS Y TRANSPORTES,,30/12/2018,REEMBOLSO 3T 2018 TRASMEDITERRANEA,
432943,NO,CANARIAS,CONSEJERÍA DE OBRAS PÚBLICAS Y TRANSPORTES,,30/12/2018,REEMBOLSO 3T 2018 CAFLAJA,
432942,NO,CANARIAS,CONSEJERÍA DE OBRAS PÚBLICAS Y TRANSPORTES,,30/12/2018,REEMBOLSO 3T 2018 GRACIOSAMAR,
432941,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCION COSTES SALARIALES,
432940,NO,CANARIAS,CONSEJERÍA DE OBRAS PÚBLICAS Y TRANSPORTES,,30/12/2018,REEMBOLSO 3T 2018 L M ROMERO,
432939,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCION COSTES SALARIALES,
432938,NO,CANARIAS,CONSEJERÍA DE ECONOMÍA, INDUSTRIA, COMERCIO Y CONOCIMIENTO,,30/12/2018,Los cuatro Large Siza Telescope (LST) del CTA-NORTE en el ORM,
432937,NO,CANARIAS,PRESIDENCIA DEL GOBIERNO,,30/12/2018,APOYO A LAS NIÑAS EN BUJUMBURA MAIRE,
432936,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCION COSTES SALARIALES,
432935,NO,CANARIAS,CONSEJERÍA DE ECONOMÍA, INDUSTRIA, COMERCIO Y AUTÓNOMOS,,30/12/2018,INFRAESTRUCTURA COMERCIAL EDIFICIO DE APARCAMIENTOS EN PLAZA BUJAZ,
432934,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCIÓN COSTES SALARIALES,
432933,NO,CANARIAS,CONSEJERÍA DE TURISMO Y EMPLEO,,30/12/2018,INFRAESTRUCTURA COMERCIAL EDIFICIO DE APARCAMIENTOS EN AV. CONSTITUCIÓN,
432932,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCIÓN COSTES SALARIALES,
432931,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCIÓN COSTES SALARIALES,
432930,NO,CANARIAS,CONSEJERÍA DE POLÍTICA TERRITORIAL, SOSTENIBILIDAD Y SEGURIDAD,,30/12/2018,GESTIÓN RESIDUOS EXC. CULTIVO PLÁTANOS,
432929,NO,CANARIAS,CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL, ACTIVIDAD FÍSICA Y DEPORTES,,30/12/2018,APOYO AL CETD HALTEROFILIA LA LAGUNA,
432928,NO,CANARIAS,CONSEJERÍA DE PRESIDENCIA, JUSTICIA E IGUALDAD,,30/12/2018,EQUILIBRIO ECONÓMICO BOP,
432927,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,SUBVENCIÓN COSTES SALARIALES,
432926,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,ORDEN MTAS 13 ABRIL 1994 FOMENTO EMPLEO TRABAJADORES CON DISCAPACIDAD RD 1451/1983 11 DE MAYO (CONTRATACIÓN INDEFINIDA),
432925,NO,CANARIAS,CONSEJERÍA DE PRESIDENCIA, ADMINISTRACIONES PÚBLICAS, JUSTICIA Y SEGURIDAD,,30/12/2018,BORRASCAS FEB_MAR 2018,
432924,NO,CANARIAS,PRESIDENCIA DEL GOBIERNO,,30/12/2018,Actuaciones de Cooperación en América y África,
432923,NO,CANARIAS,CONSEJERÍA DE PRESIDENCIA, ADMINISTRACIONES PÚBLICAS, JUSTICIA Y SEGURIDAD,,30/12/2018,BORRASCAS FEB_MAR 2018,
432922,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,Subvención establecimiento promoción empleo autónomo,
432921,NO,CANARIAS,INSTITUTO CANARIO DE LA VIVIENDA,,30/12/2018,SUBVENCION DIRECTA DESC-CANARIAS,
432920,NO,CANARIAS,SERVICIO CANARIO DE EMPLEO,,30/12/2018,ORDEN MINSITERIAL 16 OCTUBRE 1998,
432919,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Subvención de atención a las drogodependencias,
432918,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Subvención de Atención a las Drogodependencias,
432917,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Subvención de atención a las drogodependencias,
432916,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Proyecto de Atención a las Drogodependencias,
432915,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Subvenciones Proyecto atención a las drogodependencias,
432914,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Subvención de atención a las drogodependencias,
432913,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,subvención de atención a las drogodependencias 2018,
432912,NO,CANARIAS,SERVICIO CANARIO DE LA SALUD,,30/12/2018,Subvención de atención a las drogodependencias programas y actividades en el área d elas adicciones que se desarrollan en la UAD,
