Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
432692,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2018,ADENDA + Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria BLECH EXPO 2019 - Stuttgart (Alemania) - 5 al 8 noviembre,
432691,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2018,Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria AUTOMECHANIKA ESTAMBUL 2019 - Turquía - 4 al 7 de abril,
432690,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2018,ADENDA+Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FPA AQUATECH 2019 - Ámsterdam (Países Bajos) - 5 al 8 de noviembre,
432689,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2018,3ª ADENDA+Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ADIPEC 2019 - Abu Dhabi (E.A.U.) - 11 al 14 de noviembre,
432687,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2018,Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria AUSRAIL PLUS SYDNEY 2019 - Australia - 3 al 5 de diciembre,
432685,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2018,Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ANDINA TRAFFIC 2019 - Bogotá (Colombia) - 18 al 20 de marzo,
432483,NO,ESTADO,MINISTERIO DEL INTERIOR,FUNDACIÓN VÍCTIMAS DEL TERRORISMO,28/12/2018,CONVOCATORIA DE AYUDAS EN COLABORACIÓN EN PROYECTOS DE APOYO A LAS VICTIMAS DEL TERRORISMO 2019,
432481,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,INSTITUTO DE SALUD CARLOS III (ISCIII),28/12/2018,Convocatoria de Subvenciones de la Acción Estratégica en Salud 2019,
432296,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,INSTITUTO DE MAYORES Y SERVICIOS SOCIALES,28/12/2018,Subvención nominativa a la Fundación Matia para la financiaci´pn del proyecto piloto de viviendas para mayores,
432239,NO,ESTADO,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA,28/12/2018,2018 RESOLUCION INAP SUBVENCION NOMINATIVA FEMP PARA PLAN DE FORMACION 2018 EN EL MARCO AFEDAP,
432231,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,28/12/2018,subvención nominativa al Ayuntamiento de Agüimes para la casa de la cultura del cruce de Arinaga,
432098,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental España 2018 cultura Universidad Complutense de Madrid,
432097,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental Estados Unidos 2018 napd Spain Usa Foundation,
432096,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental América Latina y Caribe 2018 cultura Fundación Casa América Calalunya,
432095,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental España 2018 Napd Comisión de Intercambio Cultural, Educativo y Científico España  Estados Unidos,
432094,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental España 2018 cultura Instituto Europeo del Mediterráneo,
432093,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2018,Convocatoria Instrumental América Latina y Caribe 2018 Fundación Municipal de Cultural Ayuntamiento de Cádiz,
