Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
489999,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,30/12/2019,Resolución de 30 de diciembre de 2019 de la Secretaría de Estado de Universidades, Investigación, Desarrollo e Innovación, por la que se convocan por tramitación anticipada 12 ayudas para la realización de estudios de Máster en Estados Unidos,
489986,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,30/12/2019,Convocatoria  de ayudas para contratos predoctorales del Programa Salvador de Madariaga en el Instituto Universitario Europeo,
489948,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca concesión de ayudas para Participación Agrupada en la Feria NPE 2021 - Orlando (EE.UU.) - 17-21 mayo 2021,
489945,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR GUATEMALA y CUBA 2020- 27 sept-2 de oct 2020,
489942,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR IRAQ 2020 - 2 al 6 de marzo 2020,
489938,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR ANGOLA 2020 - 14 al 16 de septiembre 2020,
489935,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR JORDANIA y LIBANO 2020 - 19 al 23 de marzo 2020,
489930,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ANULADA Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MISIÓN DIRECTA A CIUDAD DE MÉXICO (México) - 25 al 29 de mayo 2020,
489923,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MISIÓN DIRECTA A SANTIAGO (Chile) - 26 al 30 de octubre 2020,
489919,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MISIÓN DIRECTA A ARABIA SAUDÍ - 17 al 21 de febrero 2020,
489912,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PLAST ALGER - Argel (Argelia) 9 al 11 de marzo 2020,
489906,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA4+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria GREENTECH AMERICAS - Querétaro (México) - 24-26 agosto 2021,
489901,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PROPAK ASIA 2020 - Bangkok (Tailandia) - 20 al 23 octubre 2020,
489899,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PACKEXPO CHICAGO 2020 - Chicago (EE.UU.) - 8 al 11 de noviembre 2020,
489892,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria EXPOPACK México 2020 (México) - 2 al 5 de junio 2020,
489880,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,30/12/2019,Subvención de la Secretaría de Estado de Seguridad del Ministerio del Interior y la Fundación ANAR, para la prestación de ayuda a niños y adolescentes en riesgo.,
489870,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria DJAZAGRO 2020 - Argel (Argelia) - 21 al 24 de septiembre 2020,
489863,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA3+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria CFIA - RENNES(Francia) - 29 septiembre a 1 octubre 2020,
489848,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria HORTEX - Ciudad Ho Chi Minh (Vietnam) - 26 al 28 de febrero 2020,
489844,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria SATELLITE 2020 - Washington (EE.UU.) - 9 al 12 de marzo 2020,
489838,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,CANCELADA-ADENDA - Resolución de 18 de diciembre de 2019 de ICEX por la que se convocan ayudas para la Participación Agrupada en la Feria ICELANDIC FISHERIES EXHIBITION & AWARDS - Reikiavik (Islandia) - 15 al 17 de septiembre de 2021,
489834,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria CONEXPO/CONAGG & IFPE 2020 - Las Vegas (EE.UU.) - 10 al 14 de marzo 2020,
489814,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria TUBE & WIRE 2020 - Dusseldorf (Alemania) - 7 a 11 diciembre 2020,
489808,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria IAA VEHICULO COMERCIAL 2020 - Hannover (Alemania) - 23- 30 de sept 2020,
489795,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA2+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la FPA CAST FORGE - Stuttgart (Alemania) - 8 al 10 de junio de 2021,
489786,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la FPA AUTOMECHANIKA ESTAMBUL 2020 - Estambul (Turquía) - 2 al 5 de abril 2020,
489782,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA-Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ADIPEC 2020 -  Abu Dhabi (EAU) - 9-12/11/2020,
489769,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la JTEC A MÉXICO DEL SECTOR DE LA MÚSICA - Guadalajara (México) - 27 al 30 de mayo 2020,
489761,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR A NIGERIA - 14 al 17 de septiembre 2020,
489752,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la MDIR A AUSTRALIA (NUEVA ZELANDA no) - 27 a 30 junio 2020,
489746,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria INTERIOR LIFESTYLE TOKYO - Tokio (Japón) - 3 al 5 de junio 2020,
489739,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,30/12/2019,ADENDA+Resolución de 18 de diciembre de 2019 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria COSMOPROF NORTH AMERICA 2020 - Las Vegas (EEUU) 20 a 22 sept. 2020,
489703,NO,ESTADO,MINISTERIO DE JUVENTUD E INFANCIA,INSTITUTO DE LA JUVENTUD,30/12/2019,RESOLUCIÓN DE 27 DE DICIEMBRE DE 2019, DEL INSTITUTO DE LA JUVENTUD, POR LA QUE SE CONVOCAN MEDIANTE TRAMITACIÓN ANTICIPADA LAS SUBVENCIONES EN EL MARCO DEL CAPÍTULO DE JUVENTUD DEL PROGRAMA ERASMUS+ PARA EL AÑO 2020,
489683,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental 2019 Cruz Roja Colombiana Ayuda Humanitaria de Emergencia para la población migrante de Cúcuta y su,
