Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
327984,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA EDUCHARÍA,
327983,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA OTRAS TRANSFERENCIAS CORRIENTES Y DE CAPITAL A OO.AA DEPENDIENTES,
327982,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA PROGRAMA INTEGRAL DE CUALIFICACIÓN Y EMPLEO 2016 PICE 2016,
327981,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA OBRAS ADECUACIÓN DEPENDENCIAS POLICÍA LOCAL PLAYA BLANCA,
327980,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,CONVOCATORIA DE AYUDAS EDUCATIVAS EXTRAORDINARIAS DEL EXCMO CABILDO INSULAR DE LANZAROTE,
327979,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA FONDO EMERGENCIA SOCIAL,
327978,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA ACTUACIONES FOLKLORICAS EN EL AÑO 2016,
327977,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA ESTUDIO DE INTERÉS/COSTE DE LA IMPLANTACIÓN DE LA RADIOTERAPIA EN LANZAROTE,
327976,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA GASTOS DE ALQUILER Y OTROS EL CRIBO,
327975,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA EDUCANDO EN IGUALDAD,
327974,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA ADQUISICIÓN MOBILIARIO,
327972,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA DINAMIZACIÓN CULTURAL CASA MUSEO DEL TIMPLE,
327971,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA PLAN DE EMPLEO MUNICIPAL 2016,
327969,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA DINAMIZACIÓN DE CENTROS SOCIOCULTURALES YAIZA,
327967,NO,DIPUTACIÓN PROV. DE ALMERÍA,DIPUTACIÓN PROVINCIAL DE ALMERÍA,,30/12/2016,SUBVENCIÓN DIRECTA AL CLUB VOLEIBOL ALMERÍA PARA EL PRIMER TORNEO INTERNACIONAL DE CAMPEONES DE VOLEIBOL- RESOLUCIÓN Nº 2.491 DE 30 DE DICIEMBRE DE 2016,
327966,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA ENCUENTRO MUSICAL,
327965,NO,RODA DE BERÀ,AYUNTAMIENTO DE RODA DE BERÀ,,30/12/2016,SUBVENCIÓ NOMINATIVA AL CLUB ATLÈTIC RODA DE BERÀ,
327964,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCIÓN NOMINATIVA CREACIÓN DE OBCECAN,
327963,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINATIVA MEJORA DE LOS SERVICIOS DE TRANSPORTE,
327962,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA PROGRAMA DE ACTIVIDADES,
327960,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION ESCOLA PUBLICA SEGIMON COMAS,
327959,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA MANTENIMIENTO  E INSTALACION D E ASCENSOR,
327958,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINATIVA GASTOS DE FUNCIONAMIENTO,
327955,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCIONES AMPA ESCOLA SEGIMON COMAS,
327954,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA HOGAR FUNDACIONAL,
327953,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION AMPA LLAR DINFANTS MUNICIPAL ELS QUIRZETS,
327952,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINATIVA APOYO A ESTUDIANTES UNIVERSITARIOS SAHARAUIS,
327951,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA CONSEJO DE LA CIUDADANIA DE LA GRACIOSA,
327949,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION ASSOCIACIO COMERCIANTS DEL BISAURA,
327948,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION ESPLAI DE LA GENT GRAN DE SANT QUIRZE,
327947,NO,GIJÓN,AYUNTAMIENTO DE GIJÓN,,30/12/2016,MANTENIMIENTO Y RENTA DEL LOCAL,
327946,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION CARITAS BISAURA,
327944,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA FIESTAS DE SAN GINES,
327941,NO,MADRID,COORDINACIÓN GENERAL DE LA ALCALDÍA,,30/12/2016,CONVENIO SUBV.NOMINAT.PRESU.CON UNIÓN DE CIUDADES CAPITALES IBEROAMERICANAS,
327940,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION CLUB TRIATLO FISIORUTHPUJOL.COM,
327939,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA FIESTAS SAN MARCIAL DEL RUBICON,
327937,NO,GIJÓN,AYUNTAMIENTO DE GIJÓN,,30/12/2016,PROGRAMA HOMENAJE A MAYORES,
327936,NO,SANT QUIRZE DE BESORA,AYUNTAMIENTO DE SANT QUIRZE DE BESORA,,30/12/2016,SUBVENCION SOCIETAT CAÇADORS SANT QUIRZE-MONTESQUIU,
327935,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA PROGRAMA EDUCATIVO 2017,
327932,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA FIESTAS DEL CARMEN DE LA GRACIOSA,
327930,NO,DIPUTACIÓN PROV. DE ZARAGOZA,DIPUTACIÓN PROVINCIAL DE ZARAGOZA,,30/12/2016,CONCESION DIRECTA CONVENIO COMISIONES OBRERAS DE ARAGON,
327929,NO,RODA DE BERÀ,AYUNTAMIENTO DE RODA DE BERÀ,,30/12/2016,SUBVENCIÓ NOMINATIVA ASSOCIACIÓ ENTITAT URBANÍSTICA ROC SANT GAIETÀ,
327927,NO,CABILDO INSULAR DE LANZAROTE,CABILDO INSULAR DE LANZAROTE,,30/12/2016,SUBVENCION NOMINADA EXPRESION CIUDADANA,
327924,NO,DIPUTACIÓN PROV. DE ALMERÍA,DIPUTACIÓN PROVINCIAL DE ALMERÍA,,30/12/2016,SUBVENCIÓN NOMINATIVA AL AUTOMÓVIL CLUB DE ALMERÍA PARA EL XLII RALLYE COSTA DE ALMERÍA  JUSTIFICACIÓN Y ABONO DE LA MISMA- RESOLUCIÓN Nº 2.482 DE 30 DE DICIEMBRE DE 2016,
