Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
603926,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,30/12/2021,AYUDAS PARA EL PROGRAMA FORMATIVO ¿UVEMPRÉN PRÁCTICAS, CIUDAD DE VALENCIA¿ 2022,AJUDES PER AL PROGRAMA FORMATIU UVEMPRÉN PRÀCTIQUES, CIUTAT DE VALÈNCIA 2022
603901,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,30/12/2021,IX Premio de Igualdad de la Facultat dEconomia,IX Premi dIgualtat  de la Facultat d Economia
603870,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,30/12/2021,IX premio al mejor Trabajo Final de Máster de la Facultat dEconomia,IX premi al millor treball final de màster de la Facultat dEconomia
603790,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,30/12/2021,X PREMIO EMPRENDEDORES de la Facultat dEconomia,X premi Emprenedoria de la Facultat dEconomia
602501,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,23/12/2021,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA BECA DE FORMACIÓN UNIVERSITARIA EN EQUIDAD, DIVERSIDAD E INCLUSIÓN,
602499,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,23/12/2021,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA UNA BECA DE COLABORACIÓN PARA LA GESTIÓN DEL PROGRAMA MIREUMH,
602475,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,23/12/2021,Ayudas al estudio de la UV para alumnado ganador de la Fase Local de la Olimpiada de Economía, curso académico 2021-2022,Ajudes a lestudi de la UV per a alumnat guanyador de la Fase Local de lOlimpíada dEconomia, curs acadèmic 2021-2022
602456,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,23/12/2021,Ayudas para la difusión de conocimiento científico en Ciencias Sociales para estudiantes de Grado de la Facultat de CC Socials 2021,Ajudes per a la difusió de coneixement científic en Ciències Socials per a estudiants de Grau de la Facultat de CC Socials 2021
602429,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,23/12/2021,Ayudas para la difusión de conocimiento científico en Ciencias Sociales para estudiantes de doctorado y de Máster de la Facultat de CC Sociales 2021,Ajudes per a la difusió de coneixement científic en Ciències Socials per a estudiants de doctorat i de Màster de la Facultat de CC Socials 2021
602400,NO,OTROS,UNIVERSIDAD DE VIGO,,23/12/2021,RESOLUCIÓN RECTORAL POR LA QUE SE CONVOCAN BECAS PARA ESTUDIANTADO QUE INICIA ESTUDIOS DE MÁSTER OFICIAL QUE NO HABILITEN PARA PROFESIÓN REGULADA EN EL CURSO 2021/2022,RESOLUCIÓN REITORAL POLA QUE SE CONVOCAN BOLSAS PARA ESTUDANTADO QUE INICIA ESTUDOS DE MÁSTER OFICIAL QUE NON HABILITAN PARA PROFESIÓN REGULADA NO CURSO 2021/2022
602141,NO,OTROS,UNIVERSIDAD DE BURGOS,,22/12/2021,Resolución de la Convocatoria de Erasmus+ prácticas para estudiantes de la Universidad de Burgos SMP 2021,
602106,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,22/12/2021,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA UNA BECA DE FORMACIÓN UNIVERSITARIA EN MAQUETACIÓN Y DISEÑO GRÁFICO,
602055,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,22/12/2021,RESOLUCION RECTORAL DE LA UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE POR LA QUE SE CONVOCA UNA BECA DE FORMACION UNIVERSITARIA PARA LA ADAPTACION DEL PROGRAMA MIREUMH A LOS ODS,
602036,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,22/12/2021,Convocatoria de la Liga de Debate 2022 de la Universidad de Castilla-La Mancha,
601965,NO,OTROS,UNIVERSIDAD DE BURGOS,,22/12/2021,RESOLUCIÓN de 10 de diciembre de 2021, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107/Movilidad,
601951,NO,OTROS,UNIVERSIDAD DE BURGOS,,22/12/2021,RESOLUCIÓN de 10 de diciembre de 2021, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107/Movilidad,
601949,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,22/12/2021,Convocatoria ERASMUS+ para estudiantes de doctorado de la UCLM. Movilidad de corta duración. Proyecto 2021-KA131. Fase 1.,
601941,NO,OTROS,UNIVERSIDAD DE BURGOS,,22/12/2021,RESOLUCIÓN de 10 de diciembre de 2021, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107/Movilidad,
601928,NO,OTROS,UNIVERSIDAD DE ALICANTE,,22/12/2021,CONVOCATORIA DEL PREMIO UA EMPRENDE-DOEACT_UA CONVIERTE EN REALIDAD TU IDEA DE NEGOCIO DE INICIATIVA EMPRENDEDORA DE LA UNIVERSIDAD DE ALICANTE,
601925,NO,OTROS,UNIVERSIDAD DE BURGOS,,22/12/2021,RESOLUCIÓN de 10 de diciembre de 2021, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107,
601785,NO,OTROS,CÁMARA DE COMERCIO DE MOTRIL,,21/12/2021,CONVOCATORIA AYUDAS PICE 2021,
601669,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,21/12/2021,XIV edición del concurso Proyecto Empresarial Ana M. Aroca Mengual, en Ciclos Formativos y Bachillerato,XIV edició del concurs Projecte Empresarial Ana M. Aroca Mengual, en cicles formatius i batxillerat
601662,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,21/12/2021,IV Premio del Club de Mentores de la Facultat dEconomia,IV Premi del Club de Mentors de la Facultat dEconomia
601624,NO,OTROS,UNIVERSIDAD DE CÁDIZ,,20/12/2021,CONVOCATORIA GENERAL DE BECAS Y AYUDAS AL ESTUDIO DE LA UNIVERSIDAD DE CÁDIZ, CURSO 2021-2022,
601592,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,20/12/2021,Concurso universitario Pon en marcha tu idea de emprendimiento inclusivo,Concurs universitari ¿Posa en marxa la teua idea demprenedoria inclusiva¿
601469,NO,OTROS,UNIVERSIDAD DE BURGOS,,20/12/2021,EXTRACTO de la Convocatoria de 9 de diciembre de 2021, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107/Movilidad entre Paíse,
601398,NO,OTROS,UNIVERSIDAD COMPLUTENSE DE MADRID,,20/12/2021,Resolución de 17 de diciembre de 2021, de la Universidad Complutense de Madrid por la que se realiza la convocatoria de ayudas para la financiación de proyectos de investigación SANTANDER-UCM 2021,
601313,SI,OTROS,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,,19/12/2021,RESOLUCIÓN DE FECHA 2 DE JULIO DE 2021 DE LA UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA POR LA QUE SE CONVOCAN AYUDAS PARA LA RECUALIFICACIÓN DEL SISTEMA UNIVERSITARIO ESPAÑOL PARA 2021-2023,
601312,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,18/12/2021,Convocatoria Erasmus+ con fines de formación. Proyectos KA107 movilidad con países asociados al programa. Universidad de Castilla-La Mancha,
601311,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,18/12/2021,Convocatoria Erasmus+ con fines de formación. Proyecto 2021-KA131 movilidad con países del programa. Universidad de Castilla-La Mancha,
601310,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,18/12/2021,Convocatoria Erasmus+ con fines de docencia. Proyectos KA107 movilidad con países asociados al programa. Fase 1. Universidad de Castilla-La Mancha,
601309,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,18/12/2021,Convocatoria Erasmus+ con fines de docencia. Proyecto 2021-KA131 con países del programa. Universidad de Castilla-La Mancha,
601202,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,17/12/2021,CONVOCATORIA BECAS SANTANDER ESTUDIOS PROGRESO  CONVOCATORIA 2021/2022,Dins del marc del Programa Beques Santander Progrés i en virtut del conveni de col·laboració signat entre la Universitat Politècnica de València (dara en avant UPV) i el Banc Santander, S. a., es convoquen per al curs 2021-2022, un total de 8
600909,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,16/12/2021,Convocatoria de programas propios de la UCLM y ERASMUS KA131 y KA107 en países asociados para la movilidad internacional de estudiantes. Modalidad de estudios. Curso académico 2022/23 - Fase 1,
600908,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,16/12/2021,Convocatoria ERASMUS KA103/131 para la movilidad internacional de estudiantes. Modalidad de prácticas curriculares. Curso académico 2022/23 - Fase 1,
600902,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,16/12/2021,Convocatoria ERASMUS KA103/131 para la movilidad internacional de estudiantes. Modalidad de estudios. Curso académico 2022/23 - Fase 1,
600663,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,15/12/2021,Convocatoria Prácticas Formativas IVACE 2022,Es convoquen 3 beques formatives per a la realització de pràctiques en empreses en lIVACE.
600638,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,15/12/2021,Ayudas al programa ARTS in PROGRESS 2021,Ajudes al programa ARTS in PROGRESS 2021
600629,NO,OTROS,UNIVERSIDAD DE VALLADOLID,,15/12/2021,Resolución de 14 de diciembre de 2021, del Rectorado de la Universidad de Valladolid, para PDI para realizar movilidad combinada con fines de docencia/formación (STA/STT). Curso académico 2021/2022.,
600604,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,15/12/2021,Convocatoria de beca de colaboración en el punto de información del COITT-ITACA en la Escuela Politécnica de Cuenca de la Universidad de Castilla-La Mancha 21/22,
600599,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,15/12/2021,Convocatoria de Premios a Trabajos Fin de Grado (TFG) de la Cátedra FUDEN-UCLM para el desarrollo de la práctica avanzada de cuidados. Curso 2020/2021,
600380,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,15/12/2021,II Edición del Concurso CULTURA FINANCIERA,II Edició del concurs CULTURA FINANCERA
599787,NO,OTROS,CÁMARA DE COMERCIO DE GRANADA,,13/12/2021,II Convocatoria de Ayudas económicas destinadas al Fomento de Empleo de la Cámara de Comercio de Granada. Plan de Capacitación 2021 2º Semestre. Linea 1 Ayudas a la Contratación.,
599610,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,12/12/2021,Convocatoria de dos becas de colaboración para apoyar a la dirección en la Escuela Técnica Superior de Ingenieros Agrónomos y de Montes de la Universidad de Castilla-La Mancha. Curso 2021-2022,
599609,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,12/12/2021,Convocatoria de becas de colaboración. Facultad de Educación Albacete. Enero-diciembre 2022. Decanato, Huerto y Gimnasio,
599563,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,10/12/2021,CONVENIO ENTRE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE Y FUNDACIÓN UNIVERSITARIA LA ALCUDIA DE INVESTIGACIÓN ARQUEOLÓGICA,
599522,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/12/2021,Convocatoria 2022 de Ayudas para la Creación de Empresas de Base Tecnológica-UAH,
599517,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/12/2021,Contratos Predoctorales de Formación de Profesorado Universitario en ejecución de la Línea de Excelencia del Profesorado Universitario de la UAH - 2021,
599515,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/12/2021,Bolsas de Viaje (I) para el año 2022,
599513,NO,OTROS,UNIVERSIDAD DE BURGOS,,10/12/2021,Resolución de la Convocatoria de 10 de diciembre de 2021,del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos,por la que se convocan plazas de movilidad Erasmus-Estudios SMS para estudiantes de Grado o Máster. Curso 2022-23,
599505,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/12/2021,Ayudas para Estancias de Científicos y Tecnólogos Extranjeros en la UAH para el año 2022,
599498,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,10/12/2021,Becas para estudios de doctorado ¿Juan Castelló¿ para estudiantes de países de cooperación, curso 2021-2022,Beques per a estudis de doctorat ¿Juan Castelló¿ per a estudiants de països de cooperació, curs 2021-2022
599497,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/12/2021,Ayudas de Movilidad de Personal Docente y Personal Investigador para el año 2022,
599494,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,10/12/2021,Ayudas de Movilidad de Personal Investigador en Formación para el año 2022,
599481,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,10/12/2021,Concurso universitario para implementar soluciones urbanas sostenibles para las ciudades del futuro ¿Ford Fund Smart Mobility Challenge¿ 2021-2022,Concurs universitari per a implementar solucions urbanes sostenibles per a les ciutats del futur ¿Ford Fund Smart Mobility Challenge¿ 2021-2022
599475,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,10/12/2021,Beca de colaboración Juan Murga Clausell (id 709/1),
599459,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,10/12/2021,Beca de colaboración para el aprendizaje en comunicación y difusión en actividades emprendedoras para el estudiantado.(id 716/1),
599346,NO,OTROS,CÁMARA DE COMERCIO DE GRANADA,,09/12/2021,CONVOCATORIA PROGRAMA CIBERSEGURIDAD 2021 GRANADA,
599345,NO,OTROS,CÁMARA DE COMERCIO DE GRANADA,,09/12/2021,CONVOCATORIA PROGRAMA INDUSTRIA 4.0 GRANADA,
599328,NO,OTROS,CÁMARA DE COMERCIO DE GRANADA,,09/12/2021,CONVOCATORIA PROGRAMA TICCAMARAS 2021 GRANADA,
599322,NO,OTROS,CÁMARA DE COMERCIO DE GRANADA,,09/12/2021,CONVOCATORIA PROGRAMA SOSTENIBILIDAD 2021 - GRANADA,
