Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
838703,NO,CALONGE,AYUNTAMIENTO DE CALONGE,,09/06/2025,CONVENIO SUBVENCION NOMINATIVA 2024 AFA ESCOLA PERE ROSELLO,CONVENI SUBVENCIO NOMINATIVA 2024 AFA ESCOLA PERE ROSELLO
838687,NO,CALONGE,AYUNTAMIENTO DE CALONGE,,09/06/2025,CONVENIO SUBVENCION NOMINATIVA 2024 CENTRE D'ESTUDIS CALONGINS,CONVENI SUBVENCIO NOMINATIVA 2024 CENTRE D'ESTUDIS CALONGINS
838684,NO,ENGUERA,AYUNTAMIENTO DE ENGUERA,,09/06/2025,CONVOCATORIA ENGUERA TE BECA 2025,
838683,NO,BIGUES I RIELLS,AYUNTAMIENTO DE BIGUES I RIELLS,,09/06/2025,Subvención nominal a la Asociación TUSI(K)CIRC para el año 2025,Subvenció nominal a l`Associació TUSI(K)CIRC per a l`any 2025
838682,NO,BIGUES I RIELLS,AYUNTAMIENTO DE BIGUES I RIELLS,,09/06/2025,Subvención nominal a la Escuderia Vall del Tenes - Sant Feliu de Codines para el año 2025,Subvenció nominal a la Escuderia Vall del Tenes - Sant Feliu de Codines per a l`any 2025
838681,NO,BIGUES I RIELLS,AYUNTAMIENTO DE BIGUES I RIELLS,,09/06/2025,Subvención nominal a la Asociación Ball de Diables de Bigues i Riells del Fai para el año 2025,Subvenció nominal a l`Associació Ball de Diables de Bigues i Riells del Fai per a l`any 2025
838680,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON ASOC MANAIA,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON ASOC MANAIA
838677,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON ASOCIACION ESPAÑOLA CONTRA EL CANCER,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON ASOCIACION ESPAÑOLA CONTRA EL CANCER
838676,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON ASOCIACION SOCIO SANITARIA ENFERMEDADES INFLAMATORIAS INTESTINALES Y OSTOMIZADOS,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON ASOCIACION SOCIO SANITARIA ENFERMEDADES INFLAMATORIAS INTESTINALES Y OSTOMIZADOS
838675,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON ASOCIACION DE ATENCIÓN A LA PARÁLISIS CEREBRAL Y AFINES AMENCER-ASPACE,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON ASOCIACION DE ATENCIÓN A LA PARÁLISIS CEREBRAL Y AFINES AMENCER-ASPACE
838671,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON MANCOMUNIDADE DE MONTES VECIÑAIS EN MAN COMUN DE PONTEVEDRA,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON MANCOMUNIDADE DE MONTES VECIÑAIS EN MAN COMUN DE PONTEVEDRA
838670,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON FEDERACION ESPAÑOLA DE KARATE Y DA,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON FEDERACION ESPAÑOLA DE KARATE Y DA
838669,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,CONVENIO DE COLABORACIÓN DEL AYUNTAMIENTO DE PONTEVEDRA CON FEDERACION GALLEGA DE PIRAGUISMO PONTEVEDRA,CONVENIO DE COLABORACIÓN DO CONCELLO DE PONTEVEDRA CON FEDERACION GALLEGA DE PIRAGUISMO PONTEVEDRA
838668,NO,COMILLAS,AYUNTAMIENTO DE COMILLAS,,09/06/2025,Convocatoria de subvenciones para colectivos y asociaciones vecinales con sede en el Ayuntamiento de Comillas para el ejercicio 2025.,
838662,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA A ASOCIACIÓN PARA LA DEFENSA ANIMAL DE SIGÜENZA 2025,
838661,NO,CUARTE DE HUERVA,AYUNTAMIENTO DE CUARTE DE HUERVA,,09/06/2025,"Club de Atletismo Cuarte, escuela de atletismo: nóminas, equipaciones, federaciones y licencia",
838660,NO,PICASSENT,AYUNTAMIENTO DE PICASSENT,,09/06/2025,EXPEDIENTE 2213109N: CONVOCATORIA 2025 CONCESION DE AYUDAS A DEPORTISTAS DE ELITE NO PROFESIONALES DEL MUNICIPIO DE PICASSENT,
838659,NO,PICASSENT,AYUNTAMIENTO DE PICASSENT,,09/06/2025,CONCESIÓN SUBVENCIÓN NOMINATIVA EJERCICIO 2024 -ASOCIACION CULTURAL TAURINA L'AFICIO DE PICASSENT,
838657,NO,MASSANASSA,AYUNTAMIENTO DE MASSANASSA,,09/06/2025,"Premios destinados a reconocer la excelencia y el esfuerzo, en los estudios de música y danza",
838656,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUNVENCIÓN NOMINATIVA A OBIPADO SIGÜEN ZA IGLESIAS RURALES 2025,
838655,NO,ALCALÁ LA REAL,AYUNTAMIENTO DE ALCALÁ LA REAL,,09/06/2025,"Bases específicas y convocatoria de subvenciones 2025 a clubes y asociaciones deportivas de Alcalá la Real, en régimen de concurrencia competitiva",
838653,NO,PONTEVEDRA,AYUNTAMIENTO DE PONTEVEDRA,,09/06/2025,APORTACIONES GRUPOS POLÍTICOS MUNICIPALES LEGISLATURA 2019-2023,DOTACIÓNS GRUPOS POLÍTICOS MUNICIPALES LEXISLATURA 2019-2023
838652,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN COFRADIA DE LA VERA CRUZ 2025,
838647,NO,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,AYUNTAMIENTO DE ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,09/06/2025,"CONVOCATORIA DE SUBVENCION CONCURRRENCIA COMPETITIVA CULTURA, DEPORTE Y FIESTAS DE BARRIOS","KULTURA, KIROLA ETA AUZOETAKO JAIETAKO LEHIARAKO DIRULAGUNTZA DEIALDIA"
838646,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN OBISPADO CABILDO (RESTAURACIÓN PATRIMONIO HISTÓRICO ARTÍSTICO CATEDRAL,
838645,NO,ZIGOITIA,AYUNTAMIENTO DE ZIGOITIA,,09/06/2025,SUBVENCIÓN NOMINATIVA A LA ASOCIACIÓN OKETA ALAI DANTZA TALDEA PARA LA IMPARTICIÓN DEL PROGRAMA DE ENSEÑANZA Y DIFUSIÓN DE DANZAS VASCAS-CURSO 2024-2025,
838643,NO,IGUALADA,AYUNTAMIENTO DE IGUALADA,,09/06/2025,SUBVENCION DIRECTA ASSOCIACIÓ GATS IGUALADA,SUBVENCIÓ DIRECTA ASSOCIACIÓ GATS IGUALADA
838640,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA A CRUZ ROJA 2025,
838637,NO,CASTELLAR DEL VALLÈS,AYUNTAMIENTO DE CASTELLAR DEL VALLÈS,,09/06/2025,ACUERDO DE 29 DE OCTUBRE DE 2024 DE SUBVENCION DIRECTA CON CONVENIO A ASSOCIACIO DE NEUROREHABILITACIO PEDIATRICA INTEGRAL SALA PUIGVERD 2024,ACORD DE 29 DE OCTUBRE DE 2024 DE SUBVENCIO DIRECTA AMB CONVENI A ASSOCIACIO DE NEUROREHABILITACIO PEDIATRICA INTEGRAL SALA PUIGVERD 2024
838636,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA ASOCIACIÓN JUVENIL ABRIENDO CAMINO 2025,
838635,NO,ALMASSORA,AYUNTAMIENTO DE ALMAZORA/ALMASSORA,,09/06/2025,SUBVENCIÓN NOMINATIVA 2025 UNIÓN INSTRUCTIVO MUSICAL LA ESMERALDA,
838632,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA CARITAS ARCIPRESTAL SIGÜENZA 2025,
838627,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA A CLUB DEPORTIVO SIGÜENZA 2025,
838619,NO,ALHAURÍN DE LA TORRE,AYUNTAMIENTO DE ALHAURÍN DE LA TORRE,,09/06/2025,SUBV. 2025 REAL HERMANDAD DE NUESTRO PADRE JESUS NAZARENO DEL PASO Y Mª STMA. DE LOS DOLORES,
838614,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA ASOCIACION DE EMPRESARIOS SEGUNTINOS 2025,
838612,NO,ALCORISA,AYUNTAMIENTO DE ALCORISA,,09/06/2025,Convenio Ayuntamiento de Alcorisa y Asociación cultural Cofradía La Sangre de Cristo,
838609,NO,LEIOA,AYUNTAMIENTO DE LEIOA,,09/06/2025,BASES REGULADORAS DE LA CONVOCATORIA DE SUBVENCIONES DE CARÁCTER ORDINARIO PARA LA ACOGIDA TEMPORAL DURANTE EL 2025 DE NIÑOS Y NIÑAS DE PAISES EN VÍAS DE DESARROLLO O QUE DE FORMA DIRECTA O INDIRECTA HAYAN SUFRIDO ALGÚN TIPO DE CATÁSTROFE,"GARAPEN-BIDEAN DAUDEN, EDO ZUZENEAN EDO ZEHARKA HONDAMENDIREN BAT IZAN DUTEN HERRIALDEETAKO HAURRAK 2025AN ALDI BATERAKO HARTZEKO OHIKO DIRU-LAGUNTZEN OINARRI ARAUTZAILEAK ETA DEIALDIA"
838608,NO,SIGÜENZA,AYUNTAMIENTO DE SIGÜENZA,,09/06/2025,SUBVENCIÓN NOMINATIVA A MOTOCLUB ALTO HENARES 2025,
