Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
327985,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 AGRUPACIÓ MUSICAL D'ONTINYENT,
327986,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,AYUDAS PARA EL ABONO DE LA CUOTA DE LA COMUNIDAD DE PROPIETARIOS A UNIDADES FAMILIARES CON NIVELES BAJOS DE RENTA,
327987,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASSOCIACIÓ VEÏNAL DE SANT JOSEP D'ONTINYENT,
327988,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,SUBVENCION NOMINATIVA A FAVOR DE LA ASOCIACION DE VECINOS DEL PUERTO VIEJO DE ALGORTA "PORTUZARRA",
327989,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,02/01/2017,201  Conveni amb el CSLL Consorci de la Serra de Llaberia,
327990,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 SOCIEDAD DE FESTEROS DEL SANTÍSIMO CRISTO DE LA AGONIA,
327991,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASSOCIACIÓ CULTURAL TOT PER LA MÚSICA D'ONTINYENT,
327992,NO,EIBAR,AYUNTAMIENTO DE EIBAR,,02/01/2017,Eibar Revista de un pueblo Elkartearen alde Eibar aldizkariaren argitalpena finantzatzeko diru-laguntza izenduna/Subvención nominativa a la Asociación Eibar Revista de un pueblo para financiar la edición de la revista Eibar,
327993,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 GRUP DE PERCUSSIÓ I DOLAÇAINA "LA COLLA" D'ONTINYENT,
327994,NO,CANTABRIA,"CONSEJERÍA DE DESARROLLO RURAL, GANADERÍA, PESCA Y ALIMENTACIÓN",,02/01/2017,"ORDEN DEL CONSEJERO DE MEDIO RURAL, PESCA Y ALIMENTACION, DE 29 DE DICIEMBRE DE 2016, POR LA QUE SE CONVOCAN PARA EL 2017 LAS AYUDAS A LA PROMOCION DE PRODUCTOS ALIMENTARIOS DE CANTABRIA",
327995,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,02/01/2017,CONVENI UNED,
327996,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,02/01/2017,CONVENI AJUNT. FALSET CASTELL DEL VI,
327997,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ACCIÓ CULTURAL PAÍS VALENCIÀ,
327998,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 FONT D'ART D'ONTINYENT,
327999,NO,PÁJARA,AYUNTAMIENTO DE PÁJARA,,02/01/2017,Convocatoria pública para la concesión de subvenciones correspondientes al Área de Deportes del Ayuntamiento de Pájara,
328000,NO,CANTABRIA,SERVICIO CÁNTABRO DE EMPLEO,,02/01/2017,"Decreto 73/2008, de 24 de julio, por el que se regula el procedimiento de concesión directa de subvenciones destinadas al fomento del desarrollo local mediante la prórroga de la contratación de Agentes de Empleo y Desarrollo Local.",
328001,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 PARRÒQUIA DE SANT JOSEP-JUNIORS DE SANT JOSEP,
