Convocante,Convocatoria,Código BDNS,Reglamento,Objetivos,Instrumento de ayuda,Tipo de empresa,Fecha de concesión,Código concesión,Fecha de registro,Beneficiario,Importe nominal,Elemento de ayuda,Región concesión,Sector actividad,Referencia medida
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370773,17/02/2023,"A03160736 - QIUB PACKAGING, S.A.",324791.4,324791.4,ES521 - Alicante / Alacant,22.2 - Fabricación de productos de plástico,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370774,17/02/2023,"B98367162 - ALUCOVAL 2000, S.L.",503684.3,503684.3,ES523 - Valencia / València,25.9 - Fabricación de otros productos metálicos,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,GRAN EMPRESA,23/12/2022,SB81370776,17/02/2023,"A87494621 - HOTEL BAHÍA REAL, S.A.U.",9271259.75,9271259.75,ES705 - Gran Canaria,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,GRAN EMPRESA,23/12/2022,SB81370778,17/02/2023,"B06876783 - CUMMINS NEW POWER, S.L.",7884320,7884320,ES424 - Guadalajara,28.9 - Fabricación de otra maquinaria para usos específicos,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370780,17/02/2023,"B22248025 - BALNEARIO VILAS DEL TURBÓN, S.L.",369972.02,369972.02,ES241 - Huesca,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370783,17/02/2023,"B01940808 - NATUPACK CONVERTING, S.L.",1063790.46,1063790.46,ES241 - Huesca,17.2 - Fabricación de artículos de papel y de cartón,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370786,17/02/2023,"B44158756 - SPAIN RUBBER, S.L.",365819.43,365819.43,ES242 - Teruel,22.1 - Fabricación de productos de caucho,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370788,17/02/2023,"B39865209 - HOTEL RHIN GARDEN, S.L.",195102.12,195102.12,ES130 - Cantabria,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370790,17/02/2023,"B39392501 - MADERAS JOSÉ SAIZ, S.L.",432820.8,432820.8,ES130 - Cantabria,16.1 - Aserrado y cepillado de la madera,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370792,17/02/2023,"B76278720 - AQUAPARK COSTA TEGUISE, S.L.",377590.5,377590.5,ES705 - Gran Canaria,93.2 - Actividades recreativas y de entretenimiento,SA.41932
