Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ANDALUCÍA,737452,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",03/01/2024,NO,,"Subvención nominativa 2023,a la Universidad de Sevilla para la Construcción del Centro de Innovación Elcano",
ANDALUCÍA,737453,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",03/01/2024,NO,,"Subvención Excepcional 2023, Ayuntamiento de Marbella para actuaciones de conciliación y/o corresponsabilidad en el marco del Plan Corresponsables.",
ANDALUCÍA,737454,CONSEJERÍA DE SALUD Y CONSUMO,03/01/2024,NO,,SUBVENCIÓN NOMINATIVA 2023 FUNDACIÓN PÚBLICA ANDALUZA PARA LA GESTIÓN DE LA INVESTIGACIÓN EN SALUD DE SEVILLA (FISEVI) FARMACOVIGILANCIA,
ANDALUCÍA,737455,"CONSEJERÍA DE JUSTICIA, ADMINISTRACIÓN LOCAL Y FUNCIÓN PÚBLICA",04/01/2024,NO,,"Subvención Nominativa COSITAL 2023 - VII Congreso ""LA HABILITACIÓN NACIONAL PARA EL FUTURO""",
ANDALUCÍA,737456,CONSEJERÍA DE SALUD Y CONSUMO,04/01/2024,NO,,"SUBVENCIÓN NOMINATIVA 2023, CONFEAFA-Estrategia Alzheimer",
ANDALUCÍA,737457,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",04/01/2024,NO,,"Subvención Excepcional 2023, Innovacion y Desarrollo de Barbate para actuaciones de conciliación y/o corresponsabilidad en el marco del Plan Corresponsables.",
ANDALUCÍA,737458,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023,Universidad de Sevilla para la financiación de la construcción y puesta en marcha de un centro de innovación en vehículos aéreos no tripulados y movilidad aérea urbana",
ANDALUCÍA,737459,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Almería para la contratación de jóvenes investigadores y personal técnico de apoyo en el Marco del Sistema Nacional de Garantía Juvenil y del Progr. Regional Fondo Social Europeo Plus (FSE+)",
ANDALUCÍA,737460,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Córdoba para la contratación de jóvenes investigadores y personal técnico de apoyo en el Marco del Sistema Nacional de Garantía Juvenil y del Progr. Regional Fondo Social Europeo Plus (FSE+)",
ANDALUCÍA,737461,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Cádiz para la contratación de jóvenes investigadores y personal técnico de apoyo en el Marco del Sistema Nacional de Garantía Juvenil y del Progr. Regional Fondo Social Europeo Plus (FSE+)",
ANDALUCÍA,737462,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Cádiz para Plan Propio de Investigación",
ANDALUCÍA,737463,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Granada para Plan Propio de Investigación",
ANDALUCÍA,737464,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Sevilla para Plan Propio de Investigación",
ANDALUCÍA,737465,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Granada para la contratación de jóvenes investigadores y personal técnico de apoyo en el Marco del Sistema Nacional de Garantía Juvenil y del Progr. Regional Fondo Social Europeo Plus (FSE+)",
ANDALUCÍA,737466,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvención Nominativa 2023, Universidad de Huelva para la contratacion de  jóvenes investigadores y personal técnico de apoyo en el Marco del Sistema Nacional de Garantía Juvenil y del Progr. Regional Fondo Social Europeo Plus (FSE+)",
ANDALUCÍA,737467,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",04/01/2024,NO,,"Subvencion Nominativa 2023, Universidad de Jaen para la contratacion de  jóvenes investigadores y personal técnico de apoyo en el Marco del Sistema Nacional de Garantía Juvenil y del Progr. Regional Fondo Social Europeo Plus (FSE+)",
