Administración,Administraci�n,Código BDNS,C�digo BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Mecanismo de Recuperaci�n y Resiliencia,Título cooficial,Título de la convocatoria,T�tulo cooficial,T�tulo de la convocatoria,Órgano,�rgano
ESTADO,,200419971373901,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,11/01/2014,NO,,,Planes de contratación temporal de trabajadores desempleados en el Programa de Fomento del Empleo Agrario en las CC.AA. de Andalucía y Extremadura.,,,SERVICIO PÚBLICO DE EMPLEO ESTATAL,
ESTADO,,20051983117401,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,11/01/2014,NO,,,Subvenciones para fomentar el empleo indefinido de los trabajadores minusválidos.,,,SERVICIO PÚBLICO DE EMPLEO ESTATAL,
ESTADO,,200620051806001,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION 28/OCTUBRE/2005 CENTRO DESARROLLO TECNO IND SE CONVOCAN SUBVENCIONES PARA FOMENTO COOPERACION PUBLICO-PRIVADA EN I+D+I EN AREAS DE IMPORTANCIA PARA ECONOMIA MEDIANTE CREACION DE CONSORCIOS NACIONALES DE INVESTIGACION TECNICA(PROG CENIT),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,200720061251301,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION 5/JULIO/2006 CENTRO DESARROLLO TECNO IND SE CONVOCAN SUBVENCIONES PARA FOMENTO COOPERACION PUBLICO-PRIVADA EN I+D+I EN AREAS DE IMPORTANCIA PARA ECONOMIA MEDIANTE CREACION DE CONSORCIOS NACIONALES DE INVESTIGACION TECNICA(PROG CENIT)5,,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,20072007281501,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION 5/FEBRERO/2007 CENTRO DESARROLLO TECNO IND SE CONVOCAN SUBVENCIONES PARA FOMENTO COOPERACION PUBLICO-PRIVADA EN I+D+I EN AREAS DE IMPORTANCIA PARA ECONOMIA MEDIANTE CREACION DE CONSORCIOS NACIONALES DE INVESTIGACION TECNICA(PROG CENIT),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,200720071578201,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,23/01/2014,NO,,,Planes de formación mediante convenios,,,DIRECCIÓN PROVINCIAL DEL SEPE DE GIPUZKOA,
ESTADO,,200820072087801,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION 21/NOVEIMBRE/2007 CENTRO DESARROLLO TECNO IND CONVOCAN SUBVENCIONES PARA FOMENTO COOPERACION PUBLICO-PRIVADA EN I+D+I EN AREAS DE IMPORTANCIA PARA ECONOMIA MEDIANTE CREACION DE CONSORCIOS NACIONALES DE INVESTIGACION TECNICA(PROG CENIT),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,20082008115701,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,16/01/2014,NO,,,Subvenciones para acciones de orientación profesional para el empleo y asistencia para el autoempleo D.P. Melilla.,,,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,
ESTADO,,20082008115801,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,16/01/2014,NO,,,Subvenciones Corporaciones Locales D.P. de Melilla,,,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,
ESTADO,,200920091124111,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION 25/JUNIO/2009 DE PRESIDENCIA CENTRO DESARROLLO TECNO INDUSTRIAL POR LA QUE SE APRUEBA CONVOCATORIA AÑO 2010 PROCEDIMIENTO DE CONCESION DE SUBVENCIONES SUBPROGRAMA APOYO A CONSORCIOS ESTRATEGICOS NACIONALES DE INVESTIGACION TECNICA (CENIT),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
