Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,379455,MINISTERIO DE DEFENSA,03/01/2018,NO,,Resolución de 2 de enero de 2018 del director general del Instituto Nacional de Técnica Aeroespacial por la que se convocan becas de formación,INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS (INTA)
ESTADO,379459,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,03/01/2018,NO,,"Resol. de 26 diciembre, de la D.P. del SEPE  Melilla, por la que se aprueba por el proced. T. A. la convoc. para la concesión, en rég. de concurrencia competitiva, de subv. a los Prog. de E.T. y c. de of. en el ámbito territorial de C.A. de Melilla 2018",DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA
ESTADO,379468,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",03/01/2018,NO,,"Resolución de 21 de diciembre de 2017, del Fondo Español de Garantía Agraria, por la que se convocan las subvenciones a las organizaciones asociadas de distribución, para sufragar los gastos administrativos, de transporte y almacenamiento de los alimentos",FONDO ESPAÑOL DE GARANTÍA AGRARIA
ESTADO,379471,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,03/01/2018,NO,,"Resol. 29 diciembre del SEPE, por la que se aprueba por proced. T.A. la convoc. de subv. en rég. de conc comp, para la realiz. de acciones de orient. profes. para el empleo y asist. para el autoempleo, a E. C. sin ánimo de lucro para el año 2018 Melilla",DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA
ESTADO,379856,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",05/01/2018,NO,,"Resolución de 19 de diciembre de 2017, de la Secretaría de Estado de Educación, Formación Profesional y Universidades por la que se convocan los Premios Nacionales de Fin de Carrera de Educación Universitaria, curso académico 2013-2014",DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA
ESTADO,380015,MINISTERIO DE CULTURA,05/01/2018,NO,,Subvención nominativa a la Spain-USA Foundation para el programa cultural SPAIN arts & culture-PGE 2017.,DIRECCIÓN GENERAL DE DERECHOS CULTURALES
ESTADO,380121,MINISTERIO DE CULTURA,08/01/2018,NO,,Contribución del Gobierno de España al Programa IBERCULTURA VIVA- Ley PGE2017.,DIRECCIÓN GENERAL DE DERECHOS CULTURALES
ESTADO,380145,MINISTERIO DE CULTURA,08/01/2018,NO,,Subvención nominativa a la RIJKSAKADEMIE de Amsterdam para becas destinadas a artistas españoles-Ley PGE 2017.,DIRECCIÓN GENERAL DE DERECHOS CULTURALES
ESTADO,380196,MINISTERIO DE CULTURA,08/01/2018,NO,,Contribución a la Federación Internacional de los Consejos de las Artes y Agencias Culturales (IFACCA) para favorecer el intercambio de información y experiencias entre operadores culturales - Ley PGE 2017.,DIRECCIÓN GENERAL DE DERECHOS CULTURALES
ESTADO,380281,MINISTERIO DE DEFENSA,08/01/2018,NO,,"Orden Ministerial 1/2018, de 5 de enero, por la que se convocan subvenciones para promover la cultura de defensa, correspondientes al año 2018.",SECRETARÍA GENERAL DE POLÍTICA DE DEFENSA
