Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ALCOBENDAS,300715,PATRONATO DE BIENESTAR SOCIAL DEL AYUNTAMIENTO DE ALCOBENDAS,21/01/2016,NO,,"CONVENIO DE COLABORACION ENTRE EL CONSEJO DE LA JUVENTUD DE ALCOBENDAS Y EL AREA DE JUVENTUD, INFANCIA Y ADOLESCENCIA",
ALCOBENDAS,300759,PATRONATO DE BIENESTAR SOCIAL DEL AYUNTAMIENTO DE ALCOBENDAS,26/01/2016,NO,,"CONVOCATORIA ANUAL DE SUBVENCIONES A ASOCIACIONES Y AGRUPACIONES DE JUVENTUD, INFANCIA Y ADOLESCENCIA",
ALCOBENDAS,300769,FUNDACIÓN CIUDAD DE ALCOBENDAS,27/01/2016,NO,,VI EDICIÓN BECAS PARA FORMACIÓN MUSICAL O DANCÍSTICA,
ALCOBENDAS,300781,PATRONATO SOCIOCULTURAL DEL AYUNTAMIENTO DE ALCOBENDAS,28/01/2016,NO,,SUBVENCION DIRECTA ASOC. FAMELIA FESTIVAL DE CINE DE TERROR,
ALCOBENDAS,300782,PATRONATO SOCIOCULTURAL DEL AYUNTAMIENTO DE ALCOBENDAS,28/01/2016,NO,,SUBVENCION DIRECTA ASOC ADOS  EXPOSICION LUGARES OLVIDADOS,
ALCOBENDAS,300813,PATRONATO DE BIENESTAR SOCIAL DEL AYUNTAMIENTO DE ALCOBENDAS,28/01/2016,NO,,CONVENIO DE COLABORACION NETRE EL PATRONATO DE BIENESTAR SOCIAL DEL AYUNTAMIENTO DE ALCOBENDAS Y LA ASOCIACION DE PADRES DE ALUMNOS CON DISCAPACIDAD DE ALCOBENDAS APAMA,
ALCOBENDAS,300820,PATRONATO SOCIOCULTURAL DEL AYUNTAMIENTO DE ALCOBENDAS,29/01/2016,NO,,XIV CERTAMEN DE POESIA DE LAS CASAS REGIONALES,
ALCOBENDAS,300825,PATRONATO SOCIOCULTURAL DEL AYUNTAMIENTO DE ALCOBENDAS,29/01/2016,NO,,PREMIOS FUNGIBLE 2015,
ALCOBENDAS,300830,PATRONATO DE BIENESTAR SOCIAL DEL AYUNTAMIENTO DE ALCOBENDAS,29/01/2016,NO,,CONVENIO DE COLABORACION ENTRE EL PATRONATO DE BIENESTAR SOCIAL DEL AYUNTAMIENTO DE ALCOBENDAS Y LA ASOCIACION CULTURAL DE ALCOHOLICOS ACAA,
ALCOBENDAS,300831,FUNDACIÓN CIUDAD DE ALCOBENDAS,29/01/2016,NO,,CONVENIO COLABORACIÓN ENTRE FUNDACIÓN CIUDAD DE ALCOBENDAS Y FUNDACIÓN ANA CARLINA DIEZ MAHOU,
