Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
OTROS,604259,ADECO BUREBA - ASOCIACIÓN PARA EL DESARROLLO COMARCAL BUREBA,03/01/2022,NO,,"CONVOCATORIA DE AYUDAS PÚBLICAS, EN RÉGIMEN DE CONCURRENCIA NO COMPETITIVA, PARA PROYECTOS DE CARÁCTER NO PRODUCTIVO DE LA MEDIDA 19 “LEADER” DEL PROGRAMA DE DESARROLLO RURAL DE CASTILLA Y LEÓN 2014-2020",
OTROS,604350,UNIVERSIDAD JAUME I DE CASTELLÓN,03/01/2022,NO,,"Beca de iniciación a la investigación (Proyecto 19I572 «DESARROLLO DE UN MATERIAL BASADO EN PHA COMPOSTABLE Y BIODEGRADABLE EN EL MEDIO MARINO...»)  Director: Luis Cabedo Mas, Departamento de Ingeniería de Sistemas Industriales y Diseño",
OTROS,604353,UNIVERSIDAD JAUME I DE CASTELLÓN,03/01/2022,NO,,"Beca de iniciación a la investigación (Proyecto 20I452 «ABRIENDO PUERTAS: PASEO POR LAS CASAS SEÑORIALES DE LOS SIGLOS XVII Y XVIII»)  Directores: Joaquín Ángel Martínez Moya y Mª Jesús Máñez Pitarch, Departamento de Ingeniería de Sistemas",
OTROS,604471,CÁMARA DE COMERCIO DE CÁCERES,04/01/2022,NO,,Visita Profesional a la feria de alimentación y bebidas PRODEXPO 2022 (RUSIA),
OTROS,604484,CÁMARA DE COMERCIO DE CÁCERES,04/01/2022,NO,,Visita Profesional a la feria de alimentación y bebidas GULFOOD 2022 (DUBAI-EAU),
OTROS,604521,CÁMARA DE COMERCIO DE CÓRDOBA,04/01/2022,NO,,APLAZAMIENTO CELEBRACIÓN. Convocatoria PIP 2022 Visita a la feria BIOFACH para empresas de la provincia de Córdoba,
OTROS,604584,UNIVERSIDAD JAUME I DE CASTELLÓN,05/01/2022,NO,,Convocatoria del programa de intercambio de estudiantado con América del Norte para el curso 2022/23,
OTROS,604585,UNIVERSIDAD JAUME I DE CASTELLÓN,05/01/2022,NO,,Convocatoria del programa de intercambio de estudiantado con Asia para el curso 2022/23,
OTROS,604619,CÁMARA DE COMERCIO DE ALCOY,05/01/2022,NO,,Convocatoria Programa Sostenibilidad 2021 - Cámara Alcoy,
OTROS,604751,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,07/01/2022,NO,,RESOLUCION RECTORAL DE LA UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE POR LA QUE SE CONVOCA BECA DE FORMACIÓN UNIVERSITARIA EN GESTIÓN AMBIENTAL Y DESARROLLO SOSTENIBLE,
OTROS,605222,UNIVERSIDAD DE ALICANTE,11/01/2022,NO,,PREMIOS XIII CERTAMEN DE PROYECTOS EDUCATIVOS DE INGENIERÍA QUÍMICA,
OTROS,605378,UNIVERSIDAD DE EXTREMADURA,11/01/2022,SI,,"Ayudas en tres modalidades: Margarita Salas para la formación de jóvenes doctores, recualificación del profesorado universitario funcionario o contratado y Maria Zambrano para la atracción del talento internacional.",
OTROS,605628,UNIVERSIDAD DE BURGOS,12/01/2022,NO,,"RESOLUCIÓN de la Convocatoria de 11 de enero de 2022, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107/Movilidad.",
OTROS,605786,UNIVERSIDAD DE ALICANTE,13/01/2022,NO,,BASES DEL IV CONCURSO DE FOTOGRAFÍA SOCIOLÓGICA,
OTROS,605808,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,13/01/2022,NO,,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA UNA BECA DE FORMACIÓN UNIVERSITARIA PARA LA COLABORACIÓN EN LA GESTIÓN Y COORDINACIÓN DE LAS ACTIVIDADES FÍSICO-DEPORTIVAS QUE SE DESARROLLAN EN LA OFICINA DE CAMPUS SAL,
OTROS,605834,UNIVERSIDAD DE SALAMANCA,13/01/2022,NO,,"Resolución de 13 de enero de 2022, del Vicerrectorado de Estudiantes, por la que se convocan ayudas al estudio para alumnos que cursen enseñanzas de grado en la Universidad de Salamanca durante el curso académico 2021/2022.",
OTROS,605862,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),13/01/2022,NO,"Ajudes a l¿estudiantat de la UV per a la realització d¿activitats socioculturals, any 2022","Ayudas al estudiantado de la UV para la realización de actividades socioculturales, año 2022",
OTROS,605876,UNIVERSIDAD DE VIGO,13/01/2022,NO,RESOLUCIÓN REITORAL POLA QUE SE CONVOCAN AXUDAS AO ESTUDO PROPIAS DA UNIVERSIDADE DE VIGO NO CURSO 2021/2022,RESOLUCIÓN RECTORAL POR LA QUE SE CONVOCAN AYUDAS AL ESTUDIO PROPIAS DE LA UNIVERSIDAD DE VIGO EN EL CURSO 2021/2022,
OTROS,605877,UNIVERSIDAD DE VIGO,13/01/2022,NO,RESOLUCIÓN REITORAL POLA QUE SE CONVOCAN “BOLSAS COMEDOR” NO CURSO ACADÉMICO 2021/2022,RESOLUCIÓN RECTORAL POR LA QUE SE CONVOCAN “BECAS COMEDOR” EN EL CURSO ACADÉMICO 2021/2022,
OTROS,605921,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),14/01/2022,NO,"VIII edició del Concurs Comprendre la Societat amb Ciències Socials, curs 2021-2022","VIII edición del Concurso Comprendre la Societat amb Ciències Socials, curso 2021-2022",
OTROS,606104,UNIVERSIDAD DE ALCALÁ,17/01/2022,NO,,"Resolución del Vicerrectorado de Estudios de Grado y Estudiantes de 14 de enero de 2022, por la que se convocan las ayudas al estudio para situaciones socioeconómicas desfavorables. Curso 2021-22",
OTROS,606168,UNIVERSIDAD DE BURGOS,17/01/2022,NO,,"RESOLUCI de la Convocatoria de 12 de enero de 2022, del Vicerrectorado de Internacionalización y Cooperación de la Universidad de Burgos, por la que se convocan plazas de movilidad de estudiantes dentro del Programa Erasmus+ KA107/Movilidad.",
OTROS,606226,UNIVERSIDAD DE VALLADOLID,17/01/2022,NO,,"Resolución de 17 de enero de 2021, del Vicerrectorado de Internacionalización de la Universidad de Valladolid, por la que se convocan BECAS STEM WOMEN UVA-SANTANDER IBEROAMÉRICA+ASIA CURSO ACADÉMICO 2022-2023.",
OTROS,606251,UNIVERSIDAD DE VALLADOLID,17/01/2022,NO,,"Resolución de 17 de enero de 2021, del Vicerrectorado de Internacionalización de la Universidad de Valladolid, por la que se convocan IBEROAMÉRICA + ASIA/UNIVERSIDAD DE VALLADOLID – BANCO SANTANDER CURSO ACADÉMICO 2022-2023.",
OTROS,606267,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),17/01/2022,NO,Ajudes per a activitats que dinamitzen l'ús del  valencià en la Universitat de València durant l¿any 2022,Ayudas para actividades que dinamicen el uso del valenciano en la Universitat de València durante el año 2022,
OTROS,606272,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),17/01/2022,NO,Premis Fernando Sapiña 2022 a la qualitat lingüística en l¿elaboració de materials docents en valencià i en anglès,Premis Fernando Sapiña 2022 a la calidad lingüística en la elaboración de materiales docentes en valenciano y en inglés,
OTROS,606273,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),17/01/2022,NO,Premis Mavi Dolç i Gastaldo 2022 a l'ús del valencià i la qualitat lingüística en les tesis doctorals inscrites i defensades en la UV,Premios Mavi Dolç i Gastaldo 2022 al uso del valenciano y la calidad lingüística en les tesis doctorals inscritas y defendidas en la UV,
OTROS,606386,UNIVERSIDAD DE VALLADOLID,18/01/2022,NO,,"Resolución de 17 de enero de 2022, del Rectorado de la UVa, por la que se convocan ayudas financieras en el marco del Programa ERASMUS+ KA107 para alumnos de Doctorado de la UVa para realizar prácticas curriculares en empresas extranjeras. Curso 2021/2022",
OTROS,606410,UNIVERSIDAD DE VALLADOLID,18/01/2022,NO,,"Resolución de 17 de enero de 2022, del Rectorado de la Universidad de Valladolid, por la que se convocan ayudas a becarios Erasmus+KA107 en la Uva para realización de curso presencia “Spanish for Erasmus Students”.",
OTROS,606517,UNIVERSIDAD DE CASTILLA-LA MANCHA,18/01/2022,NO,,Convocatoria de una beca de colaboración para la actualización de la web de la Facultad de Humanidades de Toledo 2022,
OTROS,606540,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,Convocatoria: PIP 2022 Misión Comercial Costa de Marfil y Senegal. 12-18 junio para empresas de la Comunidad Valenciana,
OTROS,606553,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,Convocatoria: PIP 2021 Misión Comercial Corea del Sur y Taiwán. 1-9 de octubre para empresas de la Comunidad Valenciana,
OTROS,606560,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,Convocatoria: PIP 2022 Misión Comercial Argelia y Marruecos. 23-29 octubre para empresas de la Comunidad Valenciana,
OTROS,606561,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,"Convocatoria: PIP 2022 Misión Comercial a Turquía, 28 noviembre - 3 diciembre para empresas de la Comunitat Valenciana",
OTROS,606691,CÁMARA DE COMERCIO DE GRANADA,19/01/2022,NO,,VISITA FERIA GULFOOD 2022,
OTROS,606692,CÁMARA DE COMERCIO DE GRANADA,19/01/2022,NO,,CONVOCATORIA MISIÓN COMERCIAL DIRECTA DUBAI 2022,
